Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
Do chinh xac cua phep tinh la: 1e-10
####################################################################################################
  i                          p                  g(p)
  0         5.0000000000000000         0.0820849986238988
  1         0.0820849986238988         0.9597883387369925
  2         0.9597883387369925         0.6188488815086068
  3         0.6188488815086068         0.7338692199083992
  4         0.7338692199083992         0.6928549493800222
  5         0.6928549493800222         0.7072101080596961
  6         0.7072101080596961         0.7021522247925513
  7         0.7021522247925513         0.7039301740042471
  8         0.7039301740042471         0.7033046760223712
  9         0.7033046760223712         0.7035246682494996
 10         0.7035246682494996         0.7034472875260630
 11         0.7034472875260630         0.7034745046825845
 12         0.7034745046825845         0.7034649314598722
 13         0.7034649314598722         0.7034682986811606
 14         0.7034682986811606         0.7034671143154421
 15         0.7034671143154421         0.7034675308967326
 16         0.7034675308967326         0.7034673843710419
 17         0.7034673843710419         0.7034674359090660
 18         0.7034674359090660         0.7034674177814054
 19         0.7034674177814054         0.7034674241575147
 20         0.7034674241575147         0.7034674219148221
 21         0.7034674219148221         0.7034674227036527
 22         0.7034674227036527         0.7034674224261944
 23         0.7034674224261944         0.7034674225237858
