Giai phuong trinh f(x) = 0 bang PP chia doi khoang cach
Do chinh xac cua phep tinh la: 1e-05
####################################################################################################
  i             a             b                          c                       f(c)
  0      0.000000     20.000000         0.0000000000000000     1.0000000000000000e+00
  1      0.000000     10.000000        10.0000000000000000    -9.9999954600070240e+01
  2      0.000000      5.000000         5.0000000000000000    -2.4993262053000915e+01
  3      0.000000      2.500000         2.5000000000000000    -6.1679150013761008e+00
  4      0.000000      1.250000         1.2500000000000000    -1.2759952031398099e+00
  5      0.625000      1.250000         0.6250000000000000     1.4463642851899017e-01
  6      0.625000      0.937500         0.9375000000000000    -4.8730062332320101e-01
  7      0.625000      0.781250         0.7812500000000000    -1.5251820072838573e-01
  8      0.703125      0.781250         0.7031250000000000     6.5113130119859308e-04
  9      0.703125      0.742188         0.7421875000000000    -7.4770915625012757e-02
 10      0.703125      0.722656         0.7226562500000000    -3.6771019723195464e-02
 11      0.703125      0.712891         0.7128906250000000    -1.7987952719035305e-02
 12      0.703125      0.708008         0.7080078125000000    -8.6504414057861911e-03
 13      0.703125      0.705566         0.7055664062500000    -3.9951663130196602e-03
 14      0.703125      0.704346         0.7043457031250000    -1.6708957703638894e-03
 15      0.703125      0.703735         0.7037353515625000    -5.0960185691495408e-04
 16      0.703430      0.703735         0.7034301757812500     7.0834809527631215e-05
 17      0.703430      0.703583         0.7035827636718750    -2.1936600096816861e-04
 18      0.703430      0.703506         0.7035064697265625    -7.4261215148752058e-05
 19      0.703430      0.703468         0.7034683227539062    -1.7121076814619052e-06
