Giai phuong trinh f(x) = 0 bang PP chia doi khoang cach
Do chinh xac cua phep tinh la: 1e-05
####################################################################################################
  i             a             b                          c                       f(c)
  0      0.000000     20.000000         0.0000000000000000    -1.3068528194400546e+00
  1      0.000000     10.000000        10.0000000000000000     1.1012717826753111e+04
  2      0.000000      5.000000         5.0000000000000000     7.3155858673843156e+01
  3      0.000000      2.500000         2.5000000000000000     4.6363668764399595e+00
  4      0.000000      1.250000         1.2500000000000000     6.7078873502661729e-02
  5      0.625000      1.250000         0.6250000000000000    -8.3316541098080688e-01
  6      0.937500      1.250000         0.9375000000000000    -4.4984357815985998e-01
  7      1.093750      1.250000         1.0937500000000000    -2.1041276151981148e-01
  8      1.171875      1.250000         1.1718750000000000    -7.6764559116482722e-02
  9      1.210938      1.250000         1.2109375000000000    -6.1631148964105265e-03
 10      1.210938      1.230469         1.2304687500000000     3.0121856145790993e-02
 11      1.210938      1.220703         1.2207031250000000     1.1896119347221124e-02
 12      1.210938      1.215820         1.2158203125000000     2.8457828274852659e-03
 13      1.213379      1.215820         1.2133789062500000    -1.6638342616759338e-03
 14      1.213379      1.214600         1.2145996093750000     5.8968077578480660e-04
 15      1.213989      1.214600         1.2139892578125000    -5.3739993828205712e-04
 16      1.213989      1.214294         1.2142944335937500     2.6059597246774757e-05
 17      1.214142      1.214294         1.2141418457031250    -2.5569037305928077e-04
 18      1.214218      1.214294         1.2142181396484375    -1.1482043889632365e-04
 19      1.214256      1.214294         1.2142562866210938    -4.4381683616645518e-05
 20      1.214275      1.214294         1.2142753601074219    -9.1613588883987518e-06
