# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
#
# N_x    = 143
# N_time = 501
# l      = 1.0
# t_max  = 0.05
#
#     t_step     x_step               t               x               u
           0          0  0.00000000e+00  0.00000000e+00  0.00000000e+00
           0          1  0.00000000e+00  7.04225352e-03  8.80281690e-03
           0          2  0.00000000e+00  1.40845070e-02  1.76056338e-02
           0          3  0.00000000e+00  2.11267606e-02  2.64084507e-02
           0          4  0.00000000e+00  2.81690141e-02  3.52112676e-02
           0          5  0.00000000e+00  3.52112676e-02  4.40140845e-02
           0          6  0.00000000e+00  4.22535211e-02  5.28169014e-02
           0          7  0.00000000e+00  4.92957746e-02  6.16197183e-02
           0          8  0.00000000e+00  5.63380282e-02  7.04225352e-02
           0          9  0.00000000e+00  6.33802817e-02  7.92253521e-02
           0         10  0.00000000e+00  7.04225352e-02  8.80281690e-02
           0         11  0.00000000e+00  7.74647887e-02  9.68309859e-02
           0         12  0.00000000e+00  8.45070423e-02  1.05633803e-01
           0         13  0.00000000e+00  9.15492958e-02  1.14436620e-01
           0         14  0.00000000e+00  9.85915493e-02  1.23239437e-01
           0         15  0.00000000e+00  1.05633803e-01  1.32042254e-01
           0         16  0.00000000e+00  1.12676056e-01  1.40845070e-01
           0         17  0.00000000e+00  1.19718310e-01  1.49647887e-01
           0         18  0.00000000e+00  1.26760563e-01  1.58450704e-01
           0         19  0.00000000e+00  1.33802817e-01  1.67253521e-01
           0         20  0.00000000e+00  1.40845070e-01  1.76056338e-01
           0         21  0.00000000e+00  1.47887324e-01  1.84859155e-01
           0         22  0.00000000e+00  1.54929577e-01  1.93661972e-01
           0         23  0.00000000e+00  1.61971831e-01  2.02464789e-01
           0         24  0.00000000e+00  1.69014085e-01  2.11267606e-01
           0         25  0.00000000e+00  1.76056338e-01  2.20070423e-01
           0         26  0.00000000e+00  1.83098592e-01  2.28873239e-01
           0         27  0.00000000e+00  1.90140845e-01  2.37676056e-01
           0         28  0.00000000e+00  1.97183099e-01  2.46478873e-01
           0         29  0.00000000e+00  2.04225352e-01  2.55281690e-01
           0         30  0.00000000e+00  2.11267606e-01  2.64084507e-01
           0         31  0.00000000e+00  2.18309859e-01  2.72887324e-01
           0         32  0.00000000e+00  2.25352113e-01  2.81690141e-01
           0         33  0.00000000e+00  2.32394366e-01  2.90492958e-01
           0         34  0.00000000e+00  2.39436620e-01  2.99295775e-01
           0         35  0.00000000e+00  2.46478873e-01  3.08098592e-01
           0         36  0.00000000e+00  2.53521127e-01  3.16901408e-01
           0         37  0.00000000e+00  2.60563380e-01  3.25704225e-01
           0         38  0.00000000e+00  2.67605634e-01  3.34507042e-01
