# KET QUA GIAI PHUONG TRINH SCHRODINGER PHU THUOC THOI GIAN

######################################################################################################################################################
# THAM SO DAU VAO
######################################################################################################################################################

# N_x        = 751
# N_t        = 10001
# x_min      = 0
# x_max      = 15
# t_min      = 0
# t_max      = 1
# dx         = 0.02
# dt         = 0.0001
# sigma_0    = 0.5
# k_0        = 8
# cach_deu_time = 200

######################################################################################################################################################

#              t               x          Re_psi          Im_psi           |psi|         |psi|^2
    0.000000e+00    0.000000e+00    2.048818e-22    0.000000e+00    2.048818e-22    4.197656e-44
    0.000000e+00    2.000000e-02    3.015025e-22    4.865631e-23    3.054033e-22    9.327120e-44
    0.000000e+00    4.000000e-02    4.314428e-22    1.429756e-22    4.545161e-22    2.065849e-43
    0.000000e+00    6.000000e-02    5.990334e-22    3.118633e-22    6.753515e-22    4.560997e-43
    0.000000e+00    8.000000e-02    8.036036e-22    5.983181e-22    1.001880e-21    1.003763e-42
    0.000000e+00    1.000000e-01    1.033848e-21    1.064489e-21    1.483906e-21    2.201978e-42
    0.000000e+00    1.200000e-01    1.258494e-21    1.797579e-21    2.194333e-21    4.815097e-42
    0.000000e+00    1.400000e-01    1.411477e-21    2.916048e-21    3.239691e-21    1.049560e-41
    0.000000e+00    1.600000e-01    1.369180e-21    4.574910e-21    4.775402e-21    2.280446e-41
    0.000000e+00    1.800000e-01    9.165957e-22    6.967801e-21    7.027831e-21    4.939040e-41
    0.000000e+00    2.000000e-01   -3.015182e-22    1.032173e-20    1.032614e-20    1.066291e-40
    0.000000e+00    2.200000e-01   -2.849015e-21    1.487782e-20    1.514814e-20    2.294663e-40
    0.000000e+00    2.400000e-01   -7.591058e-21    2.084732e-20    2.218637e-20    4.922350e-40
    0.000000e+00    2.600000e-01   -1.581528e-20    2.832687e-20    3.244278e-20    1.052534e-39
    0.000000e+00    2.800000e-01   -2.938327e-20    3.714892e-20    4.736474e-20    2.243419e-39
    0.000000e+00    3.000000e-01   -5.090926e-20    4.663361e-20    6.903945e-20    4.766446e-39
    0.000000e+00    3.200000e-01   -8.395319e-20    5.519478e-20    1.004719e-19    1.009460e-38
    0.000000e+00    3.400000e-01   -1.331989e-19    5.973759e-20    1.459812e-19    2.131052e-38
    0.000000e+00    3.600000e-01   -2.045608e-19    5.476658e-20    2.117652e-19    4.484450e-38
    0.000000e+00    3.800000e-01   -3.051211e-19    3.110515e-20    3.067025e-19    9.406640e-38
    0.000000e+00    4.000000e-01   -4.427350e-19   -2.588842e-20    4.434912e-19    1.966845e-37
    0.000000e+00    4.200000e-01   -6.250522e-19   -1.387289e-19    6.402624e-19    4.099359e-37
    0.000000e+00    4.400000e-01   -8.575720e-19   -3.409425e-19    9.228605e-19    8.516715e-37
    0.000000e+00    4.600000e-01   -1.140179e-18   -6.809908e-19    1.328065e-18    1.763756e-36
    0.000000e+00    4.800000e-01   -1.461373e-18   -1.226924e-18    1.908128e-18    3.640953e-36
    0.000000e+00    5.000000e-01   -1.789131e-18   -2.071493e-18    2.737165e-18    7.492073e-36
    0.000000e+00    5.200000e-01   -2.056976e-18   -3.337096e-18    3.920122e-18    1.536736e-35
    0.000000e+00    5.400000e-01   -2.143471e-18   -5.179340e-18    5.605357e-18    3.142003e-35
    0.000000e+00    5.600000e-01   -1.842942e-18   -7.787142e-18    8.002250e-18    6.403601e-35
    0.000000e+00    5.800000e-01   -8.249340e-19   -1.137594e-17    1.140581e-17    1.300925e-34
    0.000000e+00    6.000000e-01    1.420196e-18   -1.616874e-17    1.623100e-17    2.634453e-34
    0.000000e+00    6.200000e-01    5.651873e-18   -2.235721e-17    2.306054e-17    5.317884e-34
    0.000000e+00    6.400000e-01    1.296735e-17   -3.003135e-17    3.271137e-17    1.070034e-33
    0.000000e+00    6.600000e-01    2.490623e-17   -3.906227e-17    4.632690e-17    2.146182e-33
    0.000000e+00    6.800000e-01    4.356640e-17   -4.891669e-17    6.550476e-17    4.290873e-33
    0.000000e+00    7.000000e-01    7.171934e-17   -5.837547e-17    9.247356e-17    8.551360e-33
    0.000000e+00    7.200000e-01    1.129020e-16   -6.512178e-17    1.303369e-16    1.698771e-32
    0.000000e+00    7.400000e-01    1.714459e-16   -6.515697e-17    1.834098e-16    3.363914e-32
    0.000000e+00    7.600000e-01    2.523803e-16   -5.199750e-17    2.576811e-16    6.639955e-32
    0.000000e+00    7.800000e-01    3.611127e-16   -1.560446e-17    3.614497e-16    1.306459e-31
    0.000000e+00    8.000000e-01    5.027457e-16    5.899667e-17    5.061954e-16    2.562338e-31
